ID,NUMERO VICTIMAS,FECHA,DIA DE LA SEMANA,HORA,FRANJA HORARIA,TIPO DE CALLE,DIRECCION,TIPO DE ZONA,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,AÑO,MES,DÍA
2019-0026,1,2019-03-28,Thursday,07:32:00,7,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZ, GRAL. AV.",ESQUINA,8,PEATON-PASAJEROS,PEATON,PASAJEROS,2019,3,28
2019-0027,1,2019-03-28,Thursday,11:11:00,11,AVENIDA,SANTA FE AV. y AZCUENAGA,ESQUINA,2,MULTIPLE,BICICLETA,MULTIPLE,2019,3,28
2019-0028,1,2019-04-06,Saturday,09:15:00,9,AVENIDA,"JUSTO, JUAN B. AV. y OROÃ‘O, NICASIO",ESQUINA,11,PEATON-PASAJEROS,PEATON,PASAJEROS,2019,4,6
2019-0029,1,2019-04-07,Sunday,10:15:00,10,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZ, GRAL. AV.",ESQUINA,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2019,4,7
2019-0030,1,2019-04-09,Tuesday,16:00:00,16,CALLE,"ALVAREZ, DONATO, TTE. GRAL. y YERBAL",ESQUINA,7,MOTO-CARGAS,MOTO,CARGAS,2019,4,9
2019-0031,1,2019-04-12,Friday,19:55:00,19,AVENIDA,"CORDOBA AV. y MADERO, EDUARDO AV.",ESQUINA,1,BICICLETA-CARGAS,BICICLETA,CARGAS,2019,4,12
2019-0032,1,2019-04-16,Tuesday,11:00:00,11,AVENIDA,"CAMARONES y ALVAREZ, DONATO, TTE. GRAL. AV.",ESQUINA,11,PEATON-AUTO,PEATON,AUTO,2019,4,16
2019-0033,1,2019-04-18,Thursday,01:00:00,1,AUTOPISTA,"AUTOPISTA 25 DE MAYO y HUERGO, ING. AV.",AUTOPISTA,1,MOTO-SD,MOTO,,2019,4,18
2019-0034,1,2019-04-21,Sunday,09:08:00,9,AVENIDA,"MORENO, PERITO AV. 3050",CUADRA,7,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2019,4,21
2019-0035,1,2019-04-23,Tuesday,14:10:00,14,CALLE,SUIPACHA 665,CUADRA,1,PEATON-BICICLETA,PEATON,BICICLETA,2019,4,23
2019-0036,1,2019-04-26,Friday,22:46:00,22,CALLE,RIGLOS y FORMOSA,ESQUINA,6,MOTO-AUTO,MOTO,AUTO,2019,4,26
2019-0037,1,2019-05-01,Wednesday,23:10:00,23,AVENIDA,LA RIOJA e INDEPENDENCIA AV.,ESQUINA,3,MOTO-AUTO,MOTO,AUTO,2019,5,1
